Question Number,Question Text,Paragraph,Transcript,Answers,Right Answer,Answers Translation,Images
24,,,"Did you purchase a ticket for the performance?(A) No, it's a one-way ticket.(B) We could watch it live on television.(C) The band is world-famous.","['A.', 'B.', 'C.']",B,"Dịch đáp án: | 24. Bạn đã mua vé xem buổi biểu diễn chưa? | (A) Không, đó là vé một chiều. | (B) Chúng ta có thể xem trực tiếp trên truyền hình. | (C) Ban nhạc nổi tiếng thế giới.",
25,,,"Do you remember the name of the presenter?(A) No, I didn't present my ID card.(B) It's written on the program.(C) He was named after his grandfather.","['A.', 'B.', 'C.']",B,"Dịch đáp án: | 25. Bạn có nhớ tên người dẫn chương trình không? | (A) Không, tôi không xuất trình chứng minh thư của mình. | (B) Nó được viết trên chương trình. | (C) Ông ấy được đặt theo tên ông nội của mình.",
26,,,How did you find my wallet?(A) It was less than $50.(B) He paid in cash.(C) I asked at the lost and found.,"['A.', 'B.', 'C.']",C,Dịch đáp án: | 26. Làm thế nào bạn tìm thấy ví của tôi? | (A) Nó chưa đến 50 đô la. | (B) Anh ta trả bằng tiền mặt. | (C) Tôi hỏi người bị thất lạc và tìm thấy.,
27,,,Why didn't Sam publish his book yet?(A) He is still revising it.(B) The library is closed today.(C) I'll book a flight.,"['A.', 'B.', 'C.']",A,Dịch đáp án: | 27. Tại sao Sam vẫn chưa xuất bản cuốn sách của anh ấy? | (A) Anh ấy vẫn đang sửa lại nó. | (B) Hôm nay thư viện đóng cửa. | (C) Tôi sẽ đặt vé máy bay.,
28,,,"Could you post this announcement on the front door?(A) Sure, wait a minute.(B) Yes, he applied for the post.(C) They made an announcement yesterday.","['A.', 'B.', 'C.']",A,"Dịch đáp án: | 28. Bạn có thể dán thông báo này lên cửa trước không? | (A) Chắc chắn rồi, đợi một chút. | (B) Vâng, anh ấy đã nộp đơn đăng ký. | (C) Họ đã đưa ra thông báo ngày hôm qua.",
29,,,"Didn't the courier already come today?(A) I replaced the broken part.(B) No, he usually arrives after lunch.(C) It was an international carrier.","['A.', 'B.', 'C.']",B,"Dịch đáp án: | 29. Không phải hôm nay người chuyển phát nhanh đã đến rồi sao? | (A) Tôi đã thay thế bộ phận bị hỏng. | (B) Không, anh ấy thường đến sau bữa trưa. | (C) Đó là một hãng vận chuyển quốc tế.",
30,,,We can't accept credit cards at our store for now.(A) It was on sale.(B) The last four digits of my credit card.(C) What about checks?,"['A.', 'B.', 'C.']",C,"Dịch đáp án: | 30. Hiện tại, chúng tôi không thể chấp nhận thẻ tín dụng tại cửa hàng của mình. | (A) Nó đang được giảm giá. | (B) Bốn chữ số cuối trong thẻ tín dụng của tôi. | (C) Còn séc thì sao?",
31,,,"Why don't you bring a camera along?(A) In a frame.(B) An amateur photographer.(C) Actually, I don't have one.","['A.', 'B.', 'C.']",C,"Dịch đáp án: | 31. Tại sao bạn không mang theo máy ảnh? | (A) Trong một khung hình. | (B) Một nhiếp ảnh gia nghiệp dư. | (C) Thực ra, tôi không có.",
32,Which department does the man most likely work in?,,"W: Hello, this is Julia Kramer calling from Human Resources. (32) I gave your department a laptop computer to be fixed last week and I still haven't received an update. The keyboard needed to be replaced. M: Ah, yes, Ms. Kramer. We have had a lot of work orders lately, so we are a little behind with repairs. Is the matter urgent? W: (33) Well, I just forgot to copy an important file off the hard drive that I need for my work. M: I can transfer that file onto a storage device for you. (34) Come to my office at your convenience.Dịch nghĩa:Người phụ nữ: Xin chào, đây là Julia Kramer gọi từ Phòng Nhân sự. (32) Tôi đã đưa cho bộ phận của bạn một máy tính xách tay để được sửa chữa vào tuần trước và tôi vẫn chưa nhận được thông tin cập nhật. Bàn phím cần được thay thế. Người đàn ông: À, vâng, cô Kramer. Chúng tôi đã có rất nhiều đơn đặt hàng công việc gần đây, vì vậy chúng tôi bị chậm một chút với các việc sửa chữa. Vấn đề này có khẩn cấp không? Người phụ nữ: (33) Vâng, tôi chỉ quên sao chép một tập tin quan trọng ra ổ cứng mà tôi cần cho công việc của mình thôi. Người đàn ông: Tôi có thể chuyển tập tin đó vào một thiết bị lưu trữ cho bạn. (34) Hãy đến văn phòng của tôi vào lúc nào bạn thấy thuận tiện.","['A. Human Resources.', 'B. Accounting.', 'C. Marketing.', 'D. Technical Support.']",D,Dịch đáp án: | 32. Người đàn ông có nhiều khả năng làm việc ở bộ phận nào nhất? | A. Nguồn nhân lực. | B. Kế toán. | C. Tiếp thị. | D. Hỗ trợ kỹ thuật.,
33,What is the woman unable to do?,,"W: Hello, this is Julia Kramer calling from Human Resources. (32) I gave your department a laptop computer to be fixed last week and I still haven't received an update. The keyboard needed to be replaced. M: Ah, yes, Ms. Kramer. We have had a lot of work orders lately, so we are a little behind with repairs. Is the matter urgent? W: (33) Well, I just forgot to copy an important file off the hard drive that I need for my work. M: I can transfer that file onto a storage device for you. (34) Come to my office at your convenience.Dịch nghĩa:Người phụ nữ: Xin chào, đây là Julia Kramer gọi từ Phòng Nhân sự. (32) Tôi đã đưa cho bộ phận của bạn một máy tính xách tay để được sửa chữa vào tuần trước và tôi vẫn chưa nhận được thông tin cập nhật. Bàn phím cần được thay thế. Người đàn ông: À, vâng, cô Kramer. Chúng tôi đã có rất nhiều đơn đặt hàng công việc gần đây, vì vậy chúng tôi bị chậm một chút với các việc sửa chữa. Vấn đề này có khẩn cấp không? Người phụ nữ: (33) Vâng, tôi chỉ quên sao chép một tập tin quan trọng ra ổ cứng mà tôi cần cho công việc của mình thôi. Người đàn ông: Tôi có thể chuyển tập tin đó vào một thiết bị lưu trữ cho bạn. (34) Hãy đến văn phòng của tôi vào lúc nào bạn thấy thuận tiện.","['A. Contact a client.', 'B. Write an e-mail.', 'C. Access a file.', 'D. Purchase a laptop computer.']",C,Dịch đáp án: | 33. Người phụ nữ không thể làm gì? | A. Liên hệ với khách hàng. | B. Viết một e-mail. | C. Truy cập một tập tin. | D. Mua một máy tính xách tay.,
34,What does the man suggest doing?,,"W: Hello, this is Julia Kramer calling from Human Resources. (32) I gave your department a laptop computer to be fixed last week and I still haven't received an update. The keyboard needed to be replaced. M: Ah, yes, Ms. Kramer. We have had a lot of work orders lately, so we are a little behind with repairs. Is the matter urgent? W: (33) Well, I just forgot to copy an important file off the hard drive that I need for my work. M: I can transfer that file onto a storage device for you. (34) Come to my office at your convenience.Dịch nghĩa:Người phụ nữ: Xin chào, đây là Julia Kramer gọi từ Phòng Nhân sự. (32) Tôi đã đưa cho bộ phận của bạn một máy tính xách tay để được sửa chữa vào tuần trước và tôi vẫn chưa nhận được thông tin cập nhật. Bàn phím cần được thay thế. Người đàn ông: À, vâng, cô Kramer. Chúng tôi đã có rất nhiều đơn đặt hàng công việc gần đây, vì vậy chúng tôi bị chậm một chút với các việc sửa chữa. Vấn đề này có khẩn cấp không? Người phụ nữ: (33) Vâng, tôi chỉ quên sao chép một tập tin quan trọng ra ổ cứng mà tôi cần cho công việc của mình thôi. Người đàn ông: Tôi có thể chuyển tập tin đó vào một thiết bị lưu trữ cho bạn. (34) Hãy đến văn phòng của tôi vào lúc nào bạn thấy thuận tiện.","['A. Stopping by his office.', 'B. Enrolling in a class.', 'C. Replacing a part.', 'D. Reading a manual.']",A,Dịch đáp án: | 34. Người đàn ông đề nghị làm gì? | A. Dừng lại ở văn phòng của anh ấy. | B. Đăng ký vào một lớp học. | C. Thay thế một bộ phận. | D. Đọc sách hướng dẫn.,
35,Why is the man calling?,,"M: Hello, Ms. Turner. This is Michael Schmidt calling from the Yorkshire Seaside Hotel. It says here that you would like to be informed if a seaside room became available. (35) Well, someone has just canceled, so if you would like to upgrade, you may. W: Oh, great. Thanks so much for informing me. (36) How much more is the upgraded room compared to the standard room? M: Well, it will cost an extra $50 a night. However, the room comes with a larger bed and a hot tub. I recommend you visit our website to see pictures and information on the room. W: OK. (37) I'll look at your website and then call you back with my decision.Dịch nghĩa:Người đàn ông: Xin chào, cô Turner. Đây là Michael Schmidt gọi từ khách sạn Yorkshire Seaside. Ở đây nói rằng bạn muốn được thông báo khi có sẵn một phòng bên bờ biển. (35) Chà, ai đó vừa mới hủy, vì vậy nếu bạn muốn nâng cấp, bạn có thể làm điều đó. Người phụ nữ: Ồ, tuyệt vời. Cảm ơn rất nhiều vì đã thông báo cho tôi. (36) Phòng nâng cấp có giá hơn bao nhiêu so với phòng tiêu chuẩn? Người đàn ông: Chà, nó sẽ tốn thêm 50 đô la một đêm. Tuy nhiên, phòng có một chiếc giường lớn hơn và một bồn tắm nước nóng. Tôi khuyên bạn nên truy cập trang web của chúng tôi để xem các hình ảnh và thông tin về phòng. Người phụ nữ: Được rồi. (37) Tôi sẽ xem trang web của bạn và sau đó gọi lại cho bạn với quyết định của tôi.","['A. To request a payment.', 'B. To confirm an order.', 'C. To offer a room upgrade.', 'D. To advertise a product.']",C,Dịch đáp án: | 35. Tại sao người đàn ông lại gọi? | A. Để yêu cầu thanh toán. | B. Để xác nhận đơn hàng. | C. Để đề nghị nâng cấp phòng. | D. Để quảng cáo một sản phẩm.,
36,What does the woman inquire about?,,"M: Hello, Ms. Turner. This is Michael Schmidt calling from the Yorkshire Seaside Hotel. It says here that you would like to be informed if a seaside room became available. (35) Well, someone has just canceled, so if you would like to upgrade, you may. W: Oh, great. Thanks so much for informing me. (36) How much more is the upgraded room compared to the standard room? M: Well, it will cost an extra $50 a night. However, the room comes with a larger bed and a hot tub. I recommend you visit our website to see pictures and information on the room. W: OK. (37) I'll look at your website and then call you back with my decision.Dịch nghĩa:Người đàn ông: Xin chào, cô Turner. Đây là Michael Schmidt gọi từ khách sạn Yorkshire Seaside. Ở đây nói rằng bạn muốn được thông báo khi có sẵn một phòng bên bờ biển. (35) Chà, ai đó vừa mới hủy, vì vậy nếu bạn muốn nâng cấp, bạn có thể làm điều đó. Người phụ nữ: Ồ, tuyệt vời. Cảm ơn rất nhiều vì đã thông báo cho tôi. (36) Phòng nâng cấp có giá hơn bao nhiêu so với phòng tiêu chuẩn? Người đàn ông: Chà, nó sẽ tốn thêm 50 đô la một đêm. Tuy nhiên, phòng có một chiếc giường lớn hơn và một bồn tắm nước nóng. Tôi khuyên bạn nên truy cập trang web của chúng tôi để xem các hình ảnh và thông tin về phòng. Người phụ nữ: Được rồi. (37) Tôi sẽ xem trang web của bạn và sau đó gọi lại cho bạn với quyết định của tôi.","['A. An additional fee.', 'B. Valet parking.', 'C. Local amenities.', 'D. A warranty period.']",A,Dịch đáp án: | 36. Người phụ nữ hỏi về điều gì? | A. Một khoản phí bổ sung. | B. Dịch vụ đỗ xe cho khách. | C. Tiện ích địa phương. | D. Thời hạn bảo hành.,
37,What does the woman say she will do?,,"M: Hello, Ms. Turner. This is Michael Schmidt calling from the Yorkshire Seaside Hotel. It says here that you would like to be informed if a seaside room became available. (35) Well, someone has just canceled, so if you would like to upgrade, you may. W: Oh, great. Thanks so much for informing me. (36) How much more is the upgraded room compared to the standard room? M: Well, it will cost an extra $50 a night. However, the room comes with a larger bed and a hot tub. I recommend you visit our website to see pictures and information on the room. W: OK. (37) I'll look at your website and then call you back with my decision.Dịch nghĩa:Người đàn ông: Xin chào, cô Turner. Đây là Michael Schmidt gọi từ khách sạn Yorkshire Seaside. Ở đây nói rằng bạn muốn được thông báo khi có sẵn một phòng bên bờ biển. (35) Chà, ai đó vừa mới hủy, vì vậy nếu bạn muốn nâng cấp, bạn có thể làm điều đó. Người phụ nữ: Ồ, tuyệt vời. Cảm ơn rất nhiều vì đã thông báo cho tôi. (36) Phòng nâng cấp có giá hơn bao nhiêu so với phòng tiêu chuẩn? Người đàn ông: Chà, nó sẽ tốn thêm 50 đô la một đêm. Tuy nhiên, phòng có một chiếc giường lớn hơn và một bồn tắm nước nóng. Tôi khuyên bạn nên truy cập trang web của chúng tôi để xem các hình ảnh và thông tin về phòng. Người phụ nữ: Được rồi. (37) Tôi sẽ xem trang web của bạn và sau đó gọi lại cho bạn với quyết định của tôi.","['A. Pay by credit card.', 'B. Compare options.', 'C. Take pictures.', 'D. Rearrange her schedule.']",B,Dịch đáp án: | 37. Người phụ nữ nói cô ấy sẽ làm gì? | A. Thanh toán bằng thẻ tín dụng. | B. So sánh các lựa chọn. | C. Chụp ảnh. | D. Sắp xếp lại lịch trình của cô ấy.,
38,Why is the man calling?,,"M: Hello. Since I bought an air conditioner from your store, I have never changed the air filter. (38) Should I replace it soon? W: When did you buy it? (39) We recommend changing the filter once a year at a minimum. If you suffer from allergies, you should change it even more often. M: (39) Oh, I guess I'm due for a new filter then. How can I purchase a replacement? Do you carry it there? W: Yes, we do. (40) All you need to tell us is the model number of your air conditioner. Do you happen to know it?Dịch nghĩa:Người đàn ông: Xin chào. Kể từ khi tôi mua một máy điều hòa không khí từ cửa hàng của bạn, tôi chưa bao giờ thay đổi bộ lọc không khí. (38) Tôi có nên thay thế nó sớm không? Người phụ nữ: Bạn mua nó khi nào? (39) Chúng tôi khuyên bạn nên thay đổi bộ lọc ít nhất mỗi năm một lần. Nếu bạn bị dị ứng, bạn thậm chí nên thay đổi nó thường xuyên hơn. Người đàn ông: (39) Ồ, tôi đoán là đã đến lúc cho bộ lọc mới rồi. Làm thế nào tôi có thể mua một bộ thay thế? Bạn có mang nó đến đó không? Người phụ nữ: Vâng, chúng tôi có. (40) Tất cả những gì bạn cần nói với chúng tôi là mã số của máy điều hòa không khí của bạn. Bạn có biết nó không?","['A. To cancel an order.', 'B. To ask for advice.', 'C. To purchase an air conditioner.', 'D. To schedule an appointment.']",B,Dịch đáp án: | 38. Tại sao người đàn ông lại gọi? | A. Để hủy đơn hàng. | B. Để xin lời khuyên. | C. Để mua một chiếc điều hòa. | D. Để đặt lịch hẹn.,
39,How long has the man most likely used the air conditioner?,,"M: Hello. Since I bought an air conditioner from your store, I have never changed the air filter. (38) Should I replace it soon? W: When did you buy it? (39) We recommend changing the filter once a year at a minimum. If you suffer from allergies, you should change it even more often. M: (39) Oh, I guess I'm due for a new filter then. How can I purchase a replacement? Do you carry it there? W: Yes, we do. (40) All you need to tell us is the model number of your air conditioner. Do you happen to know it?Dịch nghĩa:Người đàn ông: Xin chào. Kể từ khi tôi mua một máy điều hòa không khí từ cửa hàng của bạn, tôi chưa bao giờ thay đổi bộ lọc không khí. (38) Tôi có nên thay thế nó sớm không? Người phụ nữ: Bạn mua nó khi nào? (39) Chúng tôi khuyên bạn nên thay đổi bộ lọc ít nhất mỗi năm một lần. Nếu bạn bị dị ứng, bạn thậm chí nên thay đổi nó thường xuyên hơn. Người đàn ông: (39) Ồ, tôi đoán là đã đến lúc cho bộ lọc mới rồi. Làm thế nào tôi có thể mua một bộ thay thế? Bạn có mang nó đến đó không? Người phụ nữ: Vâng, chúng tôi có. (40) Tất cả những gì bạn cần nói với chúng tôi là mã số của máy điều hòa không khí của bạn. Bạn có biết nó không?","['A. About a day.', 'B. About a week.', 'C. About a month.', 'D. About a year.']",D,Dịch đáp án: | 39. Người đàn ông có thể đã sử dụng máy điều hòa trong bao lâu? | A. Khoảng một ngày. | B. Khoảng một tuần. | C. Khoảng một tháng. | D. Khoảng một năm.,
40,What information does the woman request?,,"M: Hello. Since I bought an air conditioner from your store, I have never changed the air filter. (38) Should I replace it soon? W: When did you buy it? (39) We recommend changing the filter once a year at a minimum. If you suffer from allergies, you should change it even more often. M: (39) Oh, I guess I'm due for a new filter then. How can I purchase a replacement? Do you carry it there? W: Yes, we do. (40) All you need to tell us is the model number of your air conditioner. Do you happen to know it?Dịch nghĩa:Người đàn ông: Xin chào. Kể từ khi tôi mua một máy điều hòa không khí từ cửa hàng của bạn, tôi chưa bao giờ thay đổi bộ lọc không khí. (38) Tôi có nên thay thế nó sớm không? Người phụ nữ: Bạn mua nó khi nào? (39) Chúng tôi khuyên bạn nên thay đổi bộ lọc ít nhất mỗi năm một lần. Nếu bạn bị dị ứng, bạn thậm chí nên thay đổi nó thường xuyên hơn. Người đàn ông: (39) Ồ, tôi đoán là đã đến lúc cho bộ lọc mới rồi. Làm thế nào tôi có thể mua một bộ thay thế? Bạn có mang nó đến đó không? Người phụ nữ: Vâng, chúng tôi có. (40) Tất cả những gì bạn cần nói với chúng tôi là mã số của máy điều hòa không khí của bạn. Bạn có biết nó không?","['A. The year of production.', 'B. Contact information.', 'C. A model number.', 'D. The date of purchase.']",C,Dịch đáp án: | 40. Người phụ nữ yêu cầu thông tin gì? | A. Năm sản xuất. | B. Thông tin liên hệ. | C. Số mẫu. | D. Ngày mua.,
41,What type of event are the speakers discussing?,,"M: (41) Katrina, I'm going to pick you up at 5 o'clock to go to the rock festival. I had such a great time last year. I hope it's even better this year. W: Yeah, I'm excited too. (42) However, are you sure if we leave at 5:00 we will still get there on time? It starts at 5:30 and I think it takes at least an hour to get there. M: Huh? (42) Isn't it being held in Harpersville like last year? W: (43) No, the festival is being held in Bristol this year. The festival organizers are expecting more attendees this year. They were concerned that there wouldn't be enough parking spaces, so they moved it to Bristol.Dịch nghĩa:Người đàn ông: (41) Katrina, tôi sẽ đón bạn lúc 5 giờ để đến lễ hội nhạc rock. Tôi đã có một khoảng thời gian thật tuyệt vời vào năm ngoái. Tôi hy vọng nó thậm chí còn tốt hơn trong năm nay. Người phụ nữ: Vâng, tôi cũng rất phấn khích. (42) Tuy nhiên, bạn có chắc chắn nếu chúng ta rời đi lúc 5 giờ thì chúng ta vẫn sẽ đến đó đúng giờ chứ? Nó bắt đầu lúc 5 giờ 30 và tôi nghĩ phải mất ít nhất một giờ để đến đó. Người đàn ông: Hả? (42) Không phải nó được tổ chức ở Harpersville như năm ngoái sao? Người phụ nữ: (43) Không, lễ hội sẽ được tổ chức tại Bristol năm nay. Những người tổ chức lễ hội đang mong đợi nhiều người tham dự hơn trong năm nay. Họ lo ngại rằng sẽ không có đủ chỗ đậu xe, vì vậy họ đã chuyển nó đến Bristol.","['A. A fundraiser.', 'B. A workshop.', 'C. An anniversary.', 'D. A music festival.']",D,Dịch đáp án: | 41. Người nói đang thảo luận về loại sự kiện nào? | A. Một buổi gây quỹ. | B. Một hội thảo. | C. Một ngày kỷ niệm. | D. Một lễ hội âm nhạc.,
